tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06065042723""","""Riverside-San Bernardino-Ontario, CA""",3.00,7436.00,2326.00,8720.77,42,52,43,23,29,25,23,29,23,7.21,5.59,2.13,2,2,22014,21817,20525,1,2,1,18874,18496,17535,13024,12696,12089,5789,5737,5397,62,64,49,61,62,48,3.1,2.8,0.27,8982,52,6659,43,73,1543,1574,1342,78,22
"""06065042724""","""Riverside-San Bernardino-Ontario, CA""",2.00,5403.00,1449.00,454.96,61,76,64,37,47,40,24,29,24,8.20,26.16,2.18,2,2,21991,21794,20502,1,1,1,19172,18793,17837,13349,13021,12414,5782,5731,5391,40,41,32,39,40,31,3.5,2.6,3.18,14246,94,9217,43,14,2517,2512,2354,89,11
"""06065042726""","""Riverside-San Bernardino-Ontario, CA""",3.00,11414.00,2856.00,4133.64,62,77,66,40,50,43,24,30,25,8.52,12.10,2.26,2,2,22821,22624,21332,1,1,1,19853,19474,18518,13810,13482,12875,6001,5949,5609,42,43,33,41,42,33,3.4,2.8,0.69,11444,96,8166,43,32,2704,2769,1532,94,6
"""06065042728""","""Riverside-San Bernardino-Ontario, CA""",1.00,2433.00,733.00,2217.51,57,71,60,34,42,37,23,29,23,7.35,2.43,2.17,2,2,21380,21183,19891,2,2,1,18973,18596,17634,13286,12958,12351,5622,5570,5230,66,68,53,64,66,51,3.4,4.1,0.33,11928,66,9898,42,53,2295,2321,2173,83,17
"""06065042730""","""Riverside-San Bernardino-Ontario, CA""",4.00,5821.00,1401.00,4167.29,53,66,55,29,37,32,24,29,24,7.99,2.90,2.18,2,2,22108,21911,20619,1,1,1,19224,18846,17887,13359,13031,12424,5813,5762,5422,52,54,42,51,53,41,3.4,3.1,0.34,9763,73,9373,43,40,1981,2079,1379,80,20
"""06065042731""","""Riverside-San Bernardino-Ontario, CA""",3.00,8792.00,2243.00,5082.83,56,70,59,32,40,34,24,30,25,8.57,4.59,2.25,2,2,22986,22789,21497,1,1,1,19852,19473,18517,13764,13436,12829,6044,5992,5652,44,45,35,43,44,35,2.3,2.8,0.44,10818,91,9755,44,57,2157,2157,1824,86,14
"""06065042732""","""Riverside-San Bernardino-Ontario, CA""",3.00,6941.00,1943.00,2003.89,60,74,63,36,45,39,24,30,24,7.97,10.61,2.23,2,2,22124,21927,20635,1,1,1,19513,19134,18177,13650,13322,12715,5817,5766,5426,45,47,36,44,46,35,2.2,3.4,0.97,14860,100,9932,43,31,2426,2627,866,87,13
"""06065042733""","""Riverside-San Bernardino-Ontario, CA""",3.00,13747.00,3798.00,4028.32,67,83,71,43,53,46,24,30,25,8.24,8.38,2.25,2,2,22850,22653,21361,1,1,1,19837,19458,18505,13800,13472,12865,6008,5957,5617,29,30,23,28,29,22,2.8,2.1,0.94,14218,92,9985,44,30,2887,2908,2705,92,8
"""06065042737""","""Riverside-San Bernardino-Ontario, CA""",1.00,3758.00,1099.00,17688.04,64,79,67,38,48,41,26,32,26,8.69,0.54,2.36,2,2,24821,24624,23331,0,0,0,21001,20621,19671,14458,14130,13523,6526,6475,6135,16,17,13,16,16,13,0.9,2.2,0.06,6919,92,5705,43,179,2567,2661,2028,85,15
"""06065042738""","""Riverside-San Bernardino-Ontario, CA""",3.00,8664.00,2630.00,1233.37,58,72,61,36,45,39,22,27,22,7.27,17.40,2.06,2,2,20585,20388,19096,2,2,2,18114,17737,16770,12616,12288,11681,5413,5361,5021,85,88,68,83,86,67,3.4,2.5,2.13,14967,76,11623,43,25,2436,2463,2391,62,38
